"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRR223",1.31224615592923e-49,0.741666133214135,0.128,0.536,2.37319717299801e-45,"8","PRR22"
"TMEM1041",1.37133694034289e-49,0.507192742065348,0.106,0.49,2.48006285661011e-45,"8","TMEM104"
"NACC2",1.39395741918786e-49,0.528536009188094,0.148,0.571,2.52097199260125e-45,"8","NACC2"
"CGRRF1",1.45077192164114e-49,0.674761528713484,0.148,0.573,2.623721020288e-45,"8","CGRRF1"
"CACNB31",1.60345481065909e-49,0.324723466328433,0.109,0.493,2.89984802507697e-45,"8","CACNB3"
"LYST1",1.98309844098016e-49,0.293935374968974,0.158,0.586,3.58643353051262e-45,"8","LYST"
"TTLL11",2.01071621354142e-49,0.273421447288904,0.066,0.409,3.63638027218965e-45,"8","TTLL11"
"HYLS12",2.37455867146905e-49,0.291719612082133,0.057,0.393,4.29438935735178e-45,"8","HYLS1"
"PROSER31",2.73214350458178e-49,0.503450920789657,0.177,0.63,4.94108152803615e-45,"8","PROSER3"
"PELI11",2.73592758451981e-49,0.438701314696686,0.227,0.732,4.94792503660408e-45,"8","PELI1"
"HOXA32",2.76461509333257e-49,0.341124256217517,0.077,0.432,4.99980639629196e-45,"8","HOXA3"
"DYNLL12",3.08466522591292e-49,0.364318243534631,0.232,0.739,5.57861706106352e-45,"8","DYNLL1"
"LBHD11",3.48482731891035e-49,0.622026138730897,0.098,0.471,6.30231020624937e-45,"8","LBHD1"
"ZBTB7B",3.64153588079269e-49,0.453471760462083,0.178,0.635,6.58571764041357e-45,"8","ZBTB7B"
"GCC1",3.83358489931168e-49,0.626103012542668,0.173,0.626,6.93303829040517e-45,"8","GCC1"
"TCP11L2",3.97556266137465e-49,0.328432626444616,0.128,0.527,7.18980507309606e-45,"8","TCP11L2"
"ZNF4201",4.15025186778158e-49,0.303197604089654,0.084,0.445,7.50573050288299e-45,"8","ZNF420"
"EPOP2",4.23866661115609e-49,0.590937494377062,0.12,0.516,7.66562856627579e-45,"8","EPOP"
"C20orf963",4.25389577009956e-49,0.291425527979303,0.236,0.747,7.69317050022505e-45,"8","C20orf96"
